우선순위,순번,카테고리,항목,설명,현재 상태,해야 할 일,예상 소요,검수 영향,의존성,담당,상태,메모
Tier 2 출시후1주,11,데이터,만료 메시지 cleanup,DB 무한 적재 방지,클라이언트만 expires_at 필터,Supabase pg_cron 활성화 → 5분마다 만료 row DELETE,10분,No,-,개발,TODO,schema.sql 에 주석 처리된 cron job 있음
Tier 2 출시후1주,12,모니터링,Sentry 통합,런타임 에러 추적,없음,@sentry/react 설치 + dsn 설정 + boundary,1시간,No,-,개발,TODO,apps-in-toss 가이드 있음
Tier 2 출시후1주,13,UX,로딩 스켈레톤,첫 진입 빈 화면 방지,그냥 빈 배경,TDS Skeleton 컴포넌트 첫 진입과 칸 전환에 적용,1시간,No,-,개발,TODO,느린 네트워크 사용자 경험 향상
Tier 2 출시후1주,14,UX,빈 상태 안내,메시지 없을 때 정적 처리,그냥 무음,짧은 안내 문구 또는 토스 마스코트 표시,30분,No,-,개발,TODO,첫 진입 사용자 안 무서운 환영
Tier 2 출시후1주,15,UX,네트워크 끊김 처리,오프라인 안내,멈춤,Supabase 채널 disconnect 감지 → 토스트 안내 + 재연결,1시간,No,12번,개발,TODO,지하철 환경 끊김 잦음
Tier 2 출시후1주,16,UX,iOS Safe Area 전체 적용,노치 침범 방지,입력바만 적용,헤더에도 env(safe-area-inset-top) 적용,15분,Yes,-,개발,TODO,iOS 검수 단골 항목
Tier 2 출시후1주,17,UX,더 큰 텍스트 모드 검증,접근성,미테스트,iPhone 설정 텍스트 크기 160% 에서 레이아웃 깨짐 확인,1시간,Yes,-,개발,TODO,TDS Typography 사용 시 자동 대응되는 부분 있음
Tier 2 출시후1주,18,보안,신고/차단 기능,악성 사용자 대응,없음,말풍선 우측 ··· → 신고 → reports 테이블 적재 + 자동 차단 N회 룰,1일,Yes,-,개발,TODO,운영 안전 핵심
Tier 2 출시후1주,19,UX,오류/에러 화면,런타임 에러 폴백,white screen,React Error Boundary + 친절한 안내,30분,No,12번,개발,TODO,Sentry 와 연동
Tier 2 출시후1주,20,자산,Granite 빌드 검증,production 빌드 동작,Vite build 만 확인,ait build 후 토스 샌드박스에서 실제 동작 확인,1시간,Yes,1번,개발,TODO,getAnonymousKey 도 같이 검증
Tier 3 V1.5,21,분석,사용자 행동 로깅,DAU / 사용 패턴 추적,없음,TDS Analytics 또는 토스 자체 분석 통합,2시간,No,-,개발,TODO,bedrock/reference Analytics 가이드 참고
Tier 3 V1.5,22,분석,대시보드 구축,운영 지표 시각화,없음,Supabase 콘솔 + apps-in-toss Analytics 대시보드 활용,1일,No,21번,운영,TODO,DAU/리텐션/평균 메시지 수
Tier 3 V1.5,23,기능,칸별 시각 차별화,몰입감 향상,라벨만 다름,각 칸마다 색감/소품/조명 차별화,1일,No,-,개발/디자인,TODO,커피 칸은 베이지+커피 향 일러스트 등
Tier 3 V1.5,24,기능,푸시 알림,오전 출근시간 리마인드,없음,smart-message 통합 → 사용자 동의 후 7-9시 알림,1일,No,-,개발/운영,TODO,피로도 주의 (한 번만)
Tier 3 V1.5,25,기능,공유 리워드 contactsViral,바이럴 확산,없음,apps-in-toss contactsViral API 통합,반나절,No,-,개발,TODO,토스 공유 시스템 활용
Tier 3 V1.5,26,UI,다크모드 자동 대응,시스템 설정 따라가기,라이트만,TDS adaptive 컬러 토큰 활용 + 일부 하드코딩 컬러 정리,2시간,No,-,개발,TODO,새벽 출근 분위기 더 살아남
Tier 3 V1.5,27,성능,번들 사이즈 최적화,첫 로딩 속도,1.36MB / gzip 427KB,라우트별 lazy load + manualChunks,2시간,No,-,개발,TODO,모바일 데이터 사용자 배려
Tier 3 V1.5,28,UX,캐릭터 자산 업그레이드,비주얼 퀄리티,SVG 자체 제작,Lottie 애니메이션 또는 디자이너 SVG 도입,1주+,No,-,디자인,TODO,가장 큰 시각 변화
Tier 3 V1.5,29,UX,모바일 캐릭터 드래그,키보드 외 이동 방법,키보드 화살표만,터치 드래그 또는 좌우 영역 탭,2시간,No,-,개발,TODO,모바일이 메인 환경
Tier 4 V2,30,게이미피케이션,출석 미션,재방문 동기,없음,daily_logs 테이블 + 7일 연속 출석 보상,3일,No,21번,개발,TODO,promotion 토스포인트와 연계 가능
Tier 4 V2,31,게이미피케이션,아이템 해금 시스템,프로필 꾸미기 동기,모두 무료,진척도 또는 미션 보상으로 잠금 해제,2일,No,30번,개발,TODO,items 테이블 unlocked 컬럼
Tier 4 V2,32,사회적,친구 초대 표시,같이 출근 느낌,없음,친구 토스 ID 알면 같이 나오게 (선택),1주,No,-,개발,TODO,프라이버시 신중히
Tier 4 V2,33,수익,인앱 광고,수익 모델,없음,IntegratedAd 보상형 광고 통합 + 보상 = 한정 아이템,2일,No,-,개발/운영,TODO,피로도 주의
Tier 4 V2,34,수익,토스페이 결제,프리미엄 아이템,없음,IAP 또는 TossPay 통합,1주,No,33번,개발,TODO,추후 검토
인프라,35,인프라,환경 분리,dev/staging/prod,단일 Supabase,Supabase 프로젝트 2개로 분리 + .env 분기,2시간,No,-,개발/운영,TODO,Pro 플랜 필요할 수 있음
인프라,36,인프라,자동 배포 CI,수동 배포 자동화,수동 ait deploy,GitHub Actions 또는 토스 자체,반나절,No,-,개발,TODO,PR merge 시 자동 staging 배포
인프라,37,인프라,DB 백업 정책,재해 복구,Supabase free 7일,Pro 플랜 또는 자체 pg_dump 스케줄,1일,No,-,운영,TODO,사용자 데이터 보호
인프라,38,인프라,운영 모니터링 대시보드,동시접속/에러율 등,콘솔 직접 확인,Grafana 또는 Supabase 자체 대시보드,1일,No,12번,운영,TODO,Sentry + Supabase 합쳐서
인프라,39,인프라,서비스 점검 안내,점검 시 사용자 화면,없음,콘솔에서 점검 일정 등록 → 점검 페이지 노출,30분,Yes,-,운영,TODO,apps-in-toss 콘솔 기능
인프라,40,인프라,서비스 종료 절차,수년 후 종료 시,N/A,서비스 종료 정책 따라 사용자 고지 + 데이터 마이그레이션,추후,No,-,운영,N/A,apps-in-toss 가이드 따름
